date,Investigate Person,Larceny,Harassment,Property Lost,Fraud,Auto Theft,Counterfeiting,Confidence Games,Commercial Burglary,Vandalism,Other,Missing Person Reported,Police Service Incidents,License Plate Related Incidents,Residential Burglary,Simple Assault,Property Found,Larceny From Motor Vehicle,Medical Assistance,Motor Vehicle Accident Response,Aggravated Assault,Landlord/Tenant Disputes,Investigate Property,Auto Theft Recovery,Missing Person Located,Embezzlement,Violations,Criminal Harassment,Disorderly Conduct,Warrant Arrests,Other Burglary,Restraining Order Violations,Recovered Stolen Property,Service,Property Related Damage,Robbery,Towed,Evading Fare,License Violation,Verbal Disputes,Fire Related Reports,Firearm Violations,Search Warrants,Operating Under the Influence,Drug Violation,Prisoner Related Incidents,Firearm Discovery,Ballistics,Liquor Violation,Homicide,Offenses Against Child / Family,Harbor Related Incidents,Arson,Assembly or Gathering Violations,Bomb Hoax,Aircraft,Phone Call Complaints,Prostitution,HUMAN TRAFFICKING,HOME INVASION,Explosives,,city
2018-03-02,6,17,2,15,4,0,1,0,0,8,14,3,3,1,3,7,2,6,28,52,9,0,19,1,3,0,2,0,5,3,0,1,1,0,23,4,3,0,3,10,2,0,1,1,4,0,1,0,1,0,6,1,0,0,0,0,0,0,0,0,0,0,Boston
2018-03-03,13,20,1,8,5,4,0,3,0,9,7,1,4,2,3,5,0,7,18,31,7,2,16,2,2,0,8,0,2,2,0,0,0,0,0,3,8,1,3,12,1,1,0,0,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston
2018-03-04,10,9,1,10,2,6,1,2,2,14,13,2,1,1,5,15,4,11,23,22,3,0,9,1,3,0,4,0,5,2,0,1,2,0,1,2,7,1,1,15,1,0,0,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Boston
2018-03-05,8,15,6,8,8,2,2,4,0,10,12,0,5,1,6,6,2,5,15,30,4,0,15,1,1,0,6,0,1,5,0,0,3,0,0,2,5,0,0,13,1,2,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston
2018-03-06,19,16,0,12,5,4,0,3,0,11,20,2,3,0,4,13,2,6,23,27,4,1,13,0,3,0,9,1,4,11,0,0,0,0,0,4,4,0,0,11,1,1,0,0,21,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,Boston
2018-03-07,12,21,3,4,7,1,2,1,2,8,8,0,5,1,3,12,2,4,18,38,2,1,10,2,2,0,3,0,0,14,0,1,0,0,2,2,9,0,0,10,0,0,2,0,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston
2018-03-08,18,17,0,11,9,5,2,2,0,9,10,4,2,0,3,7,5,7,23,25,3,0,14,0,6,1,8,0,3,10,0,0,0,0,10,1,7,0,1,15,1,0,2,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston
2018-03-09,12,18,6,9,2,0,1,1,1,10,18,3,8,1,4,10,3,8,16,40,9,2,14,1,8,0,8,0,3,8,0,1,0,0,2,0,12,1,0,23,2,1,0,0,21,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,Boston
2018-03-10,9,24,3,8,5,1,1,1,0,14,12,1,1,1,3,19,4,9,22,26,13,0,12,0,2,1,3,1,1,7,0,1,2,0,0,2,16,0,5,11,4,2,0,2,12,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston
2018-03-11,14,19,1,9,1,0,0,1,2,12,6,3,2,1,1,9,1,4,23,17,2,2,12,0,4,0,3,0,2,4,1,1,0,0,0,2,1,0,0,9,3,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,Boston
2018-03-12,10,18,5,10,3,2,0,1,0,12,19,5,6,1,4,10,6,5,25,34,2,2,3,2,10,0,5,0,2,5,0,0,3,0,1,2,17,0,1,12,1,1,2,1,7,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,Boston
2018-03-13,6,9,3,5,3,4,0,0,0,8,10,2,2,0,1,5,0,0,18,36,1,0,11,1,3,0,0,0,2,1,0,0,2,0,3,2,88,0,1,7,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Boston
2018-03-14,7,15,1,8,11,1,1,1,0,13,15,3,1,0,3,7,3,6,27,32,7,0,7,1,3,0,6,0,2,8,0,3,0,1,1,1,15,0,0,11,0,1,0,0,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston
2018-03-15,20,19,6,15,4,5,0,0,0,20,14,1,2,0,2,11,1,3,29,31,6,0,9,0,1,0,5,0,2,11,0,1,3,0,0,0,11,0,0,9,0,5,3,0,28,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston
2018-03-16,13,15,2,11,6,2,0,5,0,12,17,4,7,1,0,17,0,5,26,41,10,0,8,1,7,0,3,0,1,5,0,2,1,0,0,5,7,1,2,17,0,1,2,0,10,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston
2018-03-17,12,18,1,11,3,3,1,2,1,15,5,2,1,0,3,21,5,5,17,35,7,1,11,0,4,0,3,0,5,4,0,1,2,0,1,6,7,0,5,12,1,0,0,0,6,0,2,2,1,0,3,0,0,2,0,0,0,0,0,0,0,0,Boston
